,Bicritical,Tricritical,,Quadricritical,,,Pentacritical,,,,Hexacritical,,,,,7-critical,,,,,,8-critical,,,,,,
dimension,"y2,1","y3,1","y3,2","y4,1","y4,2","y4,3","y5,1","y5,2","y5,3","y5,4","y6,1","y6,2","y6,3","y6,4","y6,5","y7,1","y7,2","y7,3","y7,4","y7,5","y7,6","y8,1","y8,2","y8,3","y8,4","y8,5","y8,6","y8,7"
1.3,1.03102,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,1.01601,1.4002,0.70085,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,0.982991,1.49625,0.715858,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,0.925963,1.58929,0.709855,,,,,,,,,,,,,,,,,,,,,,,,,
1.65,0.886943,1.63432,0.697849,1.64932,1.2051,0.550775,,,,,,,,,,,,,,,,,,,,,,
1.7,0.838919,1.67934,0.67984,1.70035,1.24112,0.547774,,,,,,,,,,,,,,,,,,,,,,
1.75,0.778889,1.72436,0.652826,1.74537,1.25313,0.538769,1.75138,1.47824,1.01901,0.448724,,,,,,,,,,,,,,,,,,
1.8,0.778889,1.76938,0.613807,1.7934,1.24112,0.52076,1.7994,1.55328,1.03402,0.43972,,,,,,,,,,,,,,,,,,
1.85,0.778889,1.82041,0.550775,1.83842,1.18709,0.487744,1.84742,1.62231,1.02201,0.421711,1.85043,1.67634,1.33717,0.883942,0.367684,,,,,,,,,,,,,
1.9,0.778889,1.82041,0.550775,1.88644,1.07304,0.424712,1.89245,1.70035,0.961981,0.385693,1.89845,1.74837,1.31616,0.85993,0.346673,1.90145,1.77839,1.58029,1.16908,0.766883,0.307654,1.90145,1.7934,1.64632,1.38219,1.04902,0.685843,0.277639
1.95,0.778889,1.82041,0.550775,1.88644,1.07304,0.424712,1.94047,1.81441,0.778889,0.286643,1.94647,1.83542,1.15408,0.733867,0.277639,1.94647,1.85643,1.69135,1.07004,0.685843,0.262631,1.94947,1.87144,1.73937,1.32516,0.991996,0.637819,0.247624
