,Bicritical,Tricritical,,Quadricritical,,,Pentacritical,,,,Hexacritical,,,,
dimension,"y2,1","y3,1","y3,2","y4,1","y4,2","y4,3","y5,1","y5,2","y5,3","y5,4","y6,1","y6,2","y6,3","y6,4","y6,5"
1.294,1.54727,,,,,,,,,,,,,,
1.364,1.43022,,,,,,,,,,,,,,
1.440,1.30415,,,,,,,,,,,,,,
1.524,1.16008,,,,,,,,,,,,,,
1.619,1.001,,,,,,,,,,,,,,
1.673,0.928964,,,,,,,,,,,,,,
1.702,0.868934,,,,,,,,,,,,,,
1.727,0.790895,,,,,,,,,,,,,,
1.731,0.814907,,,,,,,,,,,,,,
1.532,,1.98549,0.931966,,,,,,,,,,,,
1.647,,1.95848,0.838919,,,,,,,,,,,,
1.773,,1.91946,0.70085,,,,,,,,,,,,
1.843,,1.89845,0.598799,,,,,,,,,,,,
1.880,,1.90445,0.49975,,,,,,,,,,,,
1.909,,1.88944,0.43972,,,,,,,,,,,,
1.917,,1.89245,0.412706,,,,,,,,,,,,
1.663,,,,1.9945,1.46023,0.661831,,,,,,,,,
1.802,,,,1.97349,1.36118,0.568784,,,,,,,,,
1.877,,,,1.95848,1.1931,0.481741,,,,,,,,,
1.919,,,,1.95248,1.02201,0.391696,,,,,,,,,
1.952,,,,1.94647,0.823912,0.289645,,,,,,,,,
1.935,,,,1.91346,0.982991,0.445723,,,,,,,,,
1.812,,,,,,,1.9915,1.72436,1.13607,0.478739,,,,,
1.890,,,,,,,1.97649,1.76338,1.03102,0.415708,,,,,
1.932,,,,,,,1.97349,1.81141,0.889945,0.343672,,,,,
1.969,,,,,,,1.96748,1.86843,0.724862,0.385693,,,,,
1.960,,,,,,,1.94947,1.83542,0.730865,0.25963,,,,,
1.896,,,,,,,,,,,1.9915,1.83242,1.38819,0.904952,0.364682
1.939,,,,,,,,,,,1.98249,1.85943,1.24112,0.796898,0.310655
1.975,,,,,,,,,,,1.97949,1.91046,0.913957,0.550775,0.178589
