,Bicritical,Tricritical,,Quadricritical,,,Pentacritical,,,,Hexacritical,,,,
dimension,"y2,1","y3,1","y3,2","y4,1","y4,2","y4,3","y5,1","y5,2","y5,3","y5,4","y6,1","y6,2","y6,3","y6,4","y6,5"
3,1.54727,,,,,,,,,,,,,,
2.8,1.43022,,,,,,,,,,,,,,
2.6,1.30415,1.98549,0.931966,,,,,,,,,,,,
2.4,1.16008,1.95848,0.838919,1.9945,1.46023,0.661831,,,,,,,,,
2.2,1.001,1.91946,0.70085,1.97349,1.36118,0.568784,1.9915,1.72436,1.13607,0.478739,,,,,
2.1,0.928964,1.89845,0.598799,1.95848,1.1931,0.481741,1.97649,1.76338,1.03102,0.415708,1.9915,1.83242,1.38819,0.904952,0.364682
2.05,0.868934,1.90445,0.49975,1.95248,1.02201,0.391696,1.97349,1.81141,0.889945,0.343672,1.98249,1.85943,1.24112,0.796898,0.310655
2.01,0.790895,1.88944,0.43972,1.94647,0.823912,0.289645,1.96748,1.86843,0.724862,0.385693,1.97949,1.91046,0.913957,0.550775,0.178589
2.001,0.814907,1.89245,0.412706,1.91346,0.982991,0.445723,1.94947,1.83542,0.730865,0.25963,,,,,
