Category,Dimension,Anomalous,S,Sigma,Rho,S-effective
Bicritical,3,0.0586661,2,-0.159201,54.0919,1.2942226
Bicritical,2.8,0.0900086,2,-0.20778,51.3824,1.36427957142857
Bicritical,2.6,0.127944,2,-0.263126,53.0171,1.44004307692308
Bicritical,2.4,0.171548,2,-0.32669,47.912,1.52371
Bicritical,2.2,0.219023,2,-0.402821,49.3819,1.61907
Bicritical,2.1,0.24297,2,-0.447775,48.1109,1.6733619047619
Bicritical,2.05,0.255461,2,-0.472338,52.8648,1.70198926829268
Bicritical,2.01,0.264612,2,-0.49391,58.5806,1.72675422885572
Bicritical,2.001,0.267722,2,-0.497908,57.0946,1.73141229385307
Tricritical,2.6,0.00836158,2,0.0609759,71.4313,1.53202955384615
Tricritical,2.4,0.0237784,2,0.182786,70.2578,1.64685133333333
Tricritical,2.2,0.0499903,2,0.526706,71.5259,1.77273609090909
Tricritical,2.1,0.0650987,2,0.99147,83.5214,1.84276314285714
Tricritical,2.05,0.0729768,2,1.46291,70.2919,1.88002263414634
Tricritical,2.01,0.0812174,2,2.0954,78.2293,1.90923641791045
Tricritical,2.001,0.0820978,2,2.33538,85.0264,1.91694372813593
Quadricritical,2.4,0.00424251,2,-0.0253063,96.8987,1.66313124166667
Quadricritical,2.2,0.0173203,2,-0.157026,98.069,1.80243609090909
Quadricritical,2.1,0.0289887,2,-0.316297,101.424,1.87715361904762
Quadricritical,2.05,0.0332432,2,-0.421908,73.474,1.91878712195122
Quadricritical,2.01,0.0386853,2,-0.556287,107.831,1.95155691542289
Quadricritical,2.001,0.0639248,2,-0.405442,67.2113,1.93510764617691
Pentacritical,2.2,0.00704794,2,0.0614593,123.773,1.8117746
Pentacritical,2.1,0.0150557,2,0.291062,147.867,1.89042314285714
Pentacritical,2.05,0.0200617,2,0.703617,133.598,1.93164712195122
Pentacritical,2.01,0.0209427,2,1.5662,100.255,1.9692112437811
Pentacritical,2.001,0.0388202,2,1.44537,114.194,1.96019970014993
Hexacritical,2.1,0.00878179,2,-0.115697,153.225,1.8963982952381
Hexacritical,2.05,0.0129039,2,-0.279769,168.043,1.93863034146342
Hexacritical,2.01,0.0149687,2,-0.491989,137.041,1.97515552238806
Hexacritical,2.001,0.0210851,2,-0.400717,234.63,1.97792593703148
