Category,Dimension,Anomalous,S,Sigma,Rho,S-effective
Bicritical,2,0,1.3,-0.163064,80.5487,1.3
Bicritical,2,0,1.4,-0.23361,84.4106,1.4
Bicritical,2,0,1.5,-0.308565,71.0614,1.5
Bicritical,2,0,1.6,-0.369921,36.0147,1.6
Bicritical,2,0,1.65,-0.427565,47.5839,1.65
Bicritical,2,0,1.7,-0.470493,54.4074,1.7
Bicritical,2,0,1.75,-0.514254,53.2788,1.75
Bicritical,2,0,1.8,-0.560211,75.0164,1.8
Bicritical,2,0,1.85,-0.609135,46.8905,1.85
Bicritical,2,0,1.9,-0.663798,46.541,1.9
Bicritical,2,0,1.95,-0.730567,55.1219,1.95
Tricritical,2,0,1.4,0.00819477,113.865,1.4
Tricritical,2,0,1.5,0.0422255,100.942,1.5
Tricritical,2,0,1.6,0.120522,100.575,1.6
Tricritical,2,0,1.65,0.186781,73.1811,1.65
Tricritical,2,0,1.7,0.286711,80.202,1.7
Tricritical,2,0,1.75,0.434822,80.5604,1.75
Tricritical,2,0,1.8,0.667151,79.5201,1.8
Tricritical,2,0,1.85,1.06391,91.1268,1.85
Tricritical,2,0,1.9,1.85796,79.8014,1.9
Tricritical,2,0,1.95,4.17161,89.9757,1.95
Quadricritical,2,0,1.6,-0.00739124,123.985,1.6
Quadricritical,2,0,1.65,-0.0188073,96.1187,1.65
Quadricritical,2,0,1.7,-0.0446412,106.719,1.7
Quadricritical,2,0,1.75,-0.0869458,115.294,1.75
Quadricritical,2,0,1.8,-0.153217,108.372,1.8
Quadricritical,2,0,1.85,-0.249784,102.999,1.85
Quadricritical,2,0,1.9,-0.38078,101.749,1.9
Quadricritical,2,0,1.95,-0.550438,99.0704,1.95
Pentacritical,2,0,1.7,0.0041493,150.656,1.7
Pentacritical,2,0,1.75,0.0159144,142.682,1.75
Pentacritical,2,0,1.8,0.0484432,146.22,1.8
Pentacritical,2,0,1.85,0.131708,139.39,1.85
Pentacritical,2,0,1.9,0.353866,135.41,1.9
Pentacritical,2,0,1.95,1.12741,144.865,1.95
Hexacritical,2,0,1.8,-0.00859391,179.407,1.8
Hexacritical,2,0,1.85,-0.0370992,175.101,1.85
Hexacritical,2,0,1.85,-0.0370992,175.101,1.85
Hexacritical,2,0,1.9,-0.126164,169.281,1.9
Hexacritical,2,0,1.95,-0.345225,171.074,1.95
Heptacritical,2,0,1.8,0.000880059,209.018,1.8
Heptacritical,2,0,1.85,0.0092162,209.792,1.85
Heptacritical,2,0,1.9,0.0604475,211.376,1.9
Heptacritical,2,0,1.95,0.371539,217.005,1.95
Octocritical,2,0,1.85,-0.0015501,249.937,1.85
Octocritical,2,0,1.9,-0.0207575,283.723,1.9
Octocritical,2,0,1.95,-0.163911,266.306,1.95
9th,2,0,1.95,0.115368,308.394,1.95
10th,2,0,1.95,-0.0560703,400.787,1.95
11th,2,0,1.95,0.030044,419.081,1.95
12th,2,0,1.95,-0.00234762,605.918,1.95
